SigUF,DscClasseConsumo,MthAtualizaCadastralEmpreend,DscClasseConsumo
AL,Comercial,2021-11,46
AL,Comercial,2021-12,86
AL,Comercial,2022-01,76
AL,Comercial,2022-02,57
AL,Comercial,2022-03,77
AL,Comercial,2022-04,82
AL,Comercial,2022-05,46
AL,Comercial,2022-07,1
AL,Comercial,2022-10,1
AL,Comercial,2022-11,4
AL,Comercial,2023-01,2
AL,Comercial,2023-02,3
AL,Comercial,2023-03,1
AL,Industrial,2021-01,2
AL,Industrial,2021-04,1
AL,Industrial,2021-05,4
AL,Industrial,2021-06,2
AL,Industrial,2021-07,4
AL,Industrial,2021-09,5
AL,Industrial,2021-10,1
AL,Industrial,2021-11,1
AL,Industrial,2021-12,1
AL,Industrial,2022-02,2
AL,Industrial,2022-03,7
AL,Industrial,2022-04,6
AL,Industrial,2022-05,5
AL,Poder Público,2020-09,1
AL,Poder Público,2021-08,3
AL,Poder Público,2021-09,1
AL,Poder Público,2021-10,3
AL,Poder Público,2021-11,1
AL,Poder Público,2022-01,1
AL,Poder Público,2022-04,1
AL,Poder Público,2022-05,1
AL,Residencial,2016-01,1
AL,Residencial,2016-03,1
AL,Residencial,2016-08,1
AL,Residencial,2016-10,1
AL,Residencial,2016-12,1
AL,Residencial,2017-02,1
AL,Residencial,2017-11,1
AL,Residencial,2018-03,1
AL,Residencial,2018-04,1
AL,Residencial,2018-06,1
AL,Residencial,2018-11,2
AL,Residencial,2019-02,1
AL,Residencial,2019-05,1
AL,Residencial,2019-07,1
AL,Residencial,2019-12,1
AL,Residencial,2020-01,3
AL,Residencial,2020-03,1
AL,Residencial,2020-04,3
AL,Residencial,2020-05,2
AL,Residencial,2020-06,1
AL,Residencial,2020-07,1
AL,Residencial,2020-08,2
AL,Residencial,2020-09,4
AL,Residencial,2020-10,3
AL,Residencial,2020-11,2
AL,Residencial,2020-12,17
AL,Residencial,2021-01,56
AL,Residencial,2021-02,96
AL,Residencial,2021-03,163
AL,Residencial,2021-04,164
AL,Residencial,2021-05,138
AL,Residencial,2021-06,182
AL,Residencial,2021-07,304
AL,Residencial,2021-08,201
AL,Residencial,2021-09,338
AL,Residencial,2021-10,251
AL,Residencial,2021-11,219
AL,Residencial,2021-12,384
AL,Residencial,2022-01,431
AL,Residencial,2022-02,397
AL,Residencial,2022-03,565
AL,Residencial,2022-04,516
AL,Residencial,2022-05,334
AL,Residencial,2022-06,1
AL,Residencial,2022-07,2
AL,Residencial,2022-08,3
AL,Residencial,2022-09,3
AL,Residencial,2022-10,2
AL,Residencial,2022-11,6
AL,Residencial,2022-12,10
AL,Residencial,2023-01,11
AL,Residencial,2023-02,8
AL,Residencial,2023-03,5
AL,Rural,2019-12,1
AL,Rural,2020-01,1
AL,Rural,2020-09,1
AL,Rural,2020-11,1
AL,Rural,2020-12,1
AL,Rural,2021-01,4
AL,Rural,2021-02,3
AL,Rural,2021-03,8
AL,Rural,2021-05,1
AL,Rural,2021-06,4
AL,Rural,2021-07,6
AL,Rural,2021-08,6
AL,Rural,2021-09,7
AL,Rural,2021-10,10
AL,Rural,2021-11,4
AL,Rural,2021-12,8
AL,Rural,2022-01,5
AL,Rural,2022-02,15
AL,Rural,2022-03,9
AL,Rural,2022-04,17
AL,Rural,2022-05,6
AL,Rural,2022-06,1
AL,Rural,2022-07,1
AL,Serviço Público,2021-03,1
AL,Serviço Público,2021-06,1
PA,Residencial,2023-01,1
PA,Residencial,2023-02,1
SP,Residencial,2023-01,1
